model,accuracy,precision,recall,f1,roc_auc
LogisticRegression,0.7077922077922078,0.6,0.5,0.5454545454545454,0.812962962962963
RandomForest,0.7727272727272727,0.7021276595744681,0.6111111111111112,0.6534653465346535,0.8180555555555555
KNN,0.7532467532467533,0.66,0.6111111111111112,0.6346153846153846,0.7899074074074074
